year,state_name,req_experience,total,prop_req_experience
2015,VIRGINIA,80,95,0.842
2013,WASHINGTON,62,66,0.939
2014,WASHINGTON,87,90,0.967
2015,WASHINGTON,114,118,0.966
2013,WEST VIRGINIA,2,2,1.0
2014,WEST VIRGINIA,3,3,1.0
2015,WEST VIRGINIA,4,5,0.8
2013,WISCONSIN,10,10,1.0
2014,WISCONSIN,16,19,0.842
2015,WISCONSIN,21,21,1.0
2013,WYOMING,83,83,1.0
2014,WYOMING,89,90,0.989
2015,WYOMING,99,99,1.0
2013,NORTHERN MARIANA ISLANDS,0,0,
2014,NORTHERN MARIANA ISLANDS,0,0,
2015,NORTHERN MARIANA ISLANDS,0,0,
